"Parameter Name",Value,Type,"Last Updated"
InternetGatewayDevice.Firewall.X_000631_OutValue,0000000000000000000000000000000000000000000000000000,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.Firewall.X_000631_StealthMode,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.IPPingDiagnostics.AverageResponseTime,7,xsd:unsignedInt,"2025-12-03 15:08:48"
InternetGatewayDevice.IPPingDiagnostics.DataBlockSize,0,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.IPPingDiagnostics.DiagnosticsState,Complete,xsd:string,"2025-12-03 15:08:48"
InternetGatewayDevice.IPPingDiagnostics.DSCP,0,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.IPPingDiagnostics.FailureCount,0,xsd:unsignedInt,"2025-12-03 15:08:48"
InternetGatewayDevice.IPPingDiagnostics.Host,,xsd:string,"2025-12-03 14:45:24"
InternetGatewayDevice.IPPingDiagnostics.Interface,,xsd:string,"2025-12-03 14:45:24"
InternetGatewayDevice.IPPingDiagnostics.MaximumResponseTime,7,xsd:unsignedInt,"2025-12-03 15:08:48"
InternetGatewayDevice.IPPingDiagnostics.MinimumResponseTime,7,xsd:unsignedInt,"2025-12-03 15:08:48"
InternetGatewayDevice.IPPingDiagnostics.NumberOfRepetitions,0,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.IPPingDiagnostics.SuccessCount,4,xsd:unsignedInt,"2025-12-03 15:08:48"
InternetGatewayDevice.IPPingDiagnostics.Timeout,0,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Active,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.AddressSource,DHCP,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.ClientID,5c:0f:fb:26:5d:64,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.HostName,"Amino Amigo 7X",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.InterfaceType,Ethernet,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.IPAddress,192.168.1.211,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Layer2Interface,eth,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.LeaseTimeRemaining,20827,xsd:int,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.MACAddress,5c:0f:fb:26:5d:64,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.UserClassID,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.VendorClassID,android-dhcp-12,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.X_000631_AccessPoint,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.X_000631_HostName_Alias,"Amino Amigo 7X",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.X_000631_Icon,16,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries,1,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.DuplexMode,Full,xsd:string,"2025-12-03 14:45:24"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Enable,1,xsd:boolean,"2025-12-03 14:45:24"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddress,f8:85:f9:9c:d0:62,xsd:string,"2025-12-03 14:45:24"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MaxBitRate,Auto,xsd:string,"2025-12-03 14:45:24"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Name,eth0,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BroadcastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BroadcastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BytesSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.DiscardPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.DiscardPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.ErrorsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.ErrorsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.MulticastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.MulticastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.PacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.PacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.UnicastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.UnicastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.UnknownProtoPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Status,NoLink,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.X_000631_OnBatteryEnable,0,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.X_000631_PhyPortID,1,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.DuplexMode,Full,xsd:string,"2025-12-03 14:45:25"
